Título (Português);Instituição;Cidade Instituição;Empresa;Município;Local de Pesquisa;Grande Área do Conhecimento;Área do Conhecimento;Subárea do Conhecimento;Assuntos;
Passivação Galvanostática On-site de Tanques de Aços Inoxidáveis;;;LUIS HENRIQUE GUILHERME;Araraquara;;Engenharias;Engenharia de Materiais e Metalúrgica;Instalações e Equipamentos Metalúrgicos;Aço inoxidável:Biofilmes; 
Desenvolvimento e avaliação de glicoconjugados com aplicações em oncologia humana e veterinária;;;V.L. Campo;Ribeirão Preto;;Ciências da Saúde;Farmácia;;Química médica:Biotecnologia:Neoplasias:Glicoconjugados:Síntese:Mucinas:Atenção à saúde:Saúde pública veterinária:Antineoplásicos; 
Sistema Portátil para Avaliação Não Destrutiva de Materiais via Termografia Ativa;Subiter Tecnologia Ltda;;;;;Engenharias;Engenharia Mecânica;Engenharia Térmica;Inspeção:Inteligência artificial:Materiais:Ensaios não destrutivos; 
Programação em R e em Python aplicados a sensoriamento remoto da vegetação;;;;;;Ciências Exatas e da Terra;Geociências;;Agricultura:Python:Sensoriamento remoto; 
Programação em R e em Python aplicados a modelagem agrometeorológica;;;;;;Interdisciplinar;;;Agrometeorologia:Python:Meteorologia; 
Caminho para a catástrofe: dinâmica celular aplicada à otimização de compostos hit-to-lead para pipelines atuais de descoberta de fármacos;Universidade de São Paulo (USP). Instituto de Física de São Carlos (IFSC);São Carlos;;;Utrecht University (UU);Ciências Biológicas;Biofísica;Biofísica Molecular;Neoplasias:Descoberta de drogas:Planejamento de fármacos; 
Banco de dados e processamento dos modelos em ambiente R e em Python;;;;;;Ciências Exatas e da Terra;Probabilidade e Estatística;Probabilidade e Estatística Aplicadas;Bases de dados:Ciência de dados:Aprendizagem profunda; 
ARMADILHAS AUTOMATIZADAS PARA DETECÇÃO EM TEMPO REAL DE MOSCAS-DAS-FRUTAS (Anastrepha spp. e Ceratitis capitata);;;;;;Ciências Agrárias;Agronomia;Fitossanidade;Big data:Ceratitis capitata:Internet das coisas:Estudos interdisciplinares; 
Triagem e otimização funcional de moléculas atuantes sobre o receptor de ocitocina com foco em aplicações terapêuticas.;Naiad Desenvolvimento Computacional de Fármacos Ltda;;;;;Ciências Biológicas;Farmacologia;Farmacologia Bioquímica e Molecular;Antagonismo:Ocitocina:Transtornos mentais; 
Alterações sutis desencadeadas por nanopartículas em células analisadas individualmente através de perfil multiparamétrico baseada em imagem;Universidade Estadual de Campinas (UNICAMP). Instituto de Biologia (IB);Campinas;;;Broad Institute;Ciências Biológicas;Bioquímica;Enzimologia;Processamento de imagens:Aprendizado computacional:Nanotoxicologia; 
