Empresa;Municipio
LUIS HENRIQUE GUILHERME;Araraquara
V.L. Campo;Ribeirao Preto
JOAO MARCELO ROBAZZI BIGNELLI VALENTE AGUIAR 33617689850;Piracicaba
MS Solucões Analiticas Pesquisa e Consultoria Eireli;Sao Paulo
Nexxto Servicos em Tecnologia da Informacao S/A;Sao Paulo
Br4science Assessoria Tecnica Cientifica Ltda;Botucatu
TR - Tecnologia em Radares Ltda;Sao Jose dos Campos
MARCOS B GARCIA;Sao Bernardo do Campo
In Situ Terapia Celular Ltda;Paulinia
Probes Inovacao e Desenvolvimento Tecnologico Ltda. - ME;Sao Jose dos Campos
BIOO Artificial Intelligence em Tecnologia da Informacao Ltda;Sao Paulo
Verdaz Gestao Sustentavel e Consultoria Ambiental Ltda (Verdaz);Sao Jose do Rio Preto
Luxtec Sistemas opticos Ltda;Campinas
DG Cunha Ensino Educacional;Sao Jose do Rio Preto
Neuralmind Inteligencia Artificial Ltda;Campinas
Yosen Indústria e Comercio de Produtos para Saúde Ltda;Ribeirao Preto
DAYSE ALEXIA DE CARVALHO DE BRITO 06612420561;Campinas
Naiad Desenvolvimento Computacional de Farmacos Ltda;Sao Caetano do Sul
Meteoia Datascience Ltda;Sao Paulo
Csense Tecnologia Ltda;Sao Carlos
Bio Proj Tecnologia Ambiental Ltda;Sao Carlos
TIH - Tecnologias de Interacao Humana Ltda;Sao Jose dos Campos
Plateinnove Biotechnology Pesquisas Ltda;Piracicaba
Bio.Inn Ltda;Sao Paulo
ONKOS DIAGNOSTICOS MOLECULARES LTDA (FILIAL);Ribeirao Preto
Teccer Indústria e Comercio de Produtos Cerâmicos Ltda;Cravinhos
Reciclapac Solucões para Embalagens Ltda;Sao Paulo
VIGILANTES DO SONO QUALIDADE DE VIDA E TECNOLOGIA LTDA;Sao Paulo
Nanopol Consultoria Tecnologica Ltda;Sao Paulo
Foxwater agua e Saneamento Ltda;Santo Antonio de Posse
Triplet solucões em Biotecnologia Ltda;Bauru
Forza Composites Tecnologia em Materiais Compositos Ltda;Sao Jose dos Campos
Kairos Lab Ltda. - ME;Sao Carlos
Nascimento Pesquisa, Desenvolvimento e Capacitacao Profissional Ltda;Descalvado
Juliana Rodrigues Pegos;Campinas
Autocoat Equipamentos e Processos de Deposicao Ltda;Campinas
Bio Insumos e Diagnostico Ltda;Sao Paulo
Biobreyer Pesquisa e Desenvolvimento Cientifico Ltda;Santos
Lace Servicos de Engenharia e Representacao Ltda;Sao Jose dos Campos
Mastrangelo Ferreira e Ribeiro Pesquisa e Desenvolvimento Ltda;Botucatu
TOVIESUR QUIMICA LTDA;Sao Carlos
Gomez & Gomez Ltda. - ME;Sao Paulo
Airton Juliano Damaceno - ME;Sao Jose do Rio Preto
Bind Pesquisa e Desenvolvimento Ltda;Ribeirao Preto
IAssist Desenvolvimento de Programas Ltda;Sao Paulo
Supply Comercio de Produtos Quimicos Ltda;Mogi Guacu
CL Empreendimentos Biologicos Ltda. - EPP;Piracicaba
Kersys Desenvolvimento de Sistemas Ltda. - ME;Sao Jose dos Campos
Tech - Inovacões Tecnologicas para a Agropecuaria Ltda;Piracicaba
Bioprocess Improvement Consultoria e Pesquisas em Bioprocessos Ltda;Campinas
Teccer Indústria e Comercio de Produtos Cerâmicos Ltda;Cravinhos
In Situ Terapia Celular Ltda;Paulinia
Linax Indústria e Comercio de oleos Essenciais Ltda;Votuporanga
Matriz Brasileira de Risco Agro Ltda;Piracicaba
BRL COMPANY LTDA;Sao Paulo
BASE VERDE PESQUISA EM BIOMASSA LTDA;Sao Paulo
Autaza Tecnologia S/A;Sao Jose dos Campos
Celluris Participacões Ltda;Sao Paulo
ICTIOLOGICA CONSULTORIA AMBIENTAL LTDA - ME;Botucatu
FJV da Silva Tecnologia Informacao Ltda;Sorocaba
Engemap Engenharia, Mapeamento e Aerolevantamento Ltda;Assis
Sofien Solucões Tecnologicas para Agroindústria Ltda;Campinas
Agririsk Solucões em Gerenciamento de Risco Ltda;Piracicaba
Tissuelabs Pesquisa e Desenvolvimento Ltda;Sao Paulo
NSPORTS CONTEUDO ESPORTIVO S A;Sao Paulo
Villas Boas & Lopes Pesquisa Experimental Ltda;Sao Jose do Rio Preto
Datamind Inteligencia Artificial S/A;Sao Paulo
Innolution Sistemas de Informatica Ltda;Ribeirao Preto
Entropic Solutions - Tecnologias a Partir de Biomassa Ltda;Sao Caetano do Sul
Xeduca Solucões Tecnologicas Ltda. - ME;Sao Paulo
Living Out Laboratorio de Testes Celulares In Vitro Ltda;Ribeirao Preto
Brazil Beef Quality Ltda. - ME;Piracicaba
Shamah Mundi - Corretora e Administradora de Seguros Ltda;Sao Paulo
Manuella Souza Silverio;Sao Paulo
Botanichemical Technologias Ltda;Piracicaba
Geisa Lima Mesquita Zambrosi;Piracicaba
Brazil Beef Quality Ltda. - ME;Piracicaba
Thiago Franco;Ribeirao Preto
MATHEUS APARECIDO PEREIRA CIPRIANO 21928910831;Itu
Wetterlab Ltda;Sao Paulo
In Situ Terapia Celular Ltda;Paulinia
In Situ Terapia Celular Ltda;Paulinia
Navigandi Pesquisas e Desenvolvimento de Equipamentos Maritimos Ltda;Sao Paulo
Solucões e Instrumentacões Avancadas Ltda. - ME;Sao Paulo
Bynd Servicos de Tecnologia Ltda;Sao Paulo
Agromic Pesquisa, Producao e Comercio de Insumos Biologicos Ltda;Piracicaba
ADB PESQUISA E DESENVOLVIMENTO LTDA;Araras
Wecare Desenvolvimento e Comercio de Medicamentos e Cosmeticos Ltda;Sao Paulo
Mirscience Therapeutics Servicos de Pesquisa e Desenvolvimento Ltda;Sao Paulo
BR Goods Indústria e Comercio de Produtos Hospitalares Eireli;Indaiatuba
Apexzymes Biotecnologia Ltda;Holambra
Electroimpact do Brasil Indústria Aeroespacial Ltda;Jacarei
Villas Boas & Lopes Pesquisa Experimental Ltda;Sao Jose do Rio Preto
Bioallergy Pesquisa e Inovacao em Imunoterapia Ltda;alvaro de Carvalho
Bioagrocert Solucões Agricolas Ltda;Barretos
Wagner Wolff ME;Piracicaba
Sigria Solucões em Investimentos e Emprestimos Rurais Ltda;Piracicaba
Rotar Empresa de Projetos Consultoria e Assessoria Ltda;Campinas
Supercromo Beneficiamento de Metais Ltda;Campinas
MTG Solutions Softwares de Otimizacao para Engenharia Ltda;Sao Bernardo do Campo
MC Supply Comercio, Importacao, Exportacao e Intermediacao de Negocios Ltda;Santa Barbara D'Oeste
Opensense Informatica Ltda;Jaguariúna
T de Moraes Arquitetura;Sao Paulo
AFH Solucões Tecnologicas Ltda;Campinas
Tecgoal Inteligencia em Tecnologia Ltda;Sao Paulo
Justy Biosolutions Ltda;Piracicaba
Hoobox Robotics Tecnologia do Brasil Ltda. - ME;Campinas
PHC Godoi Biotecnologia;Sao Carlos
K3 Solucões em Quimica de Superficies Ltda;Osasco
ITS Integracao Tecnologia e Solucões em Informatica Ltda;Sao Paulo
Gustavo de Souza;Sao Carlos
Krabs Desenvolvimento em Biotecnologia Ltda;Santo Andre
Apoena Biosolucões do Brasil Eireli;Diadema
Actinobac Agrosciences Pesquisa e Desenvolvimento Ltda;Ribeirao Preto
Sofien Solucões Tecnologicas para Agroindústria Ltda;Campinas
ITS Integracao Tecnologia e Solucões em Informatica Ltda;Sao Paulo
Ecomol Consultoria e Projetos Ltda. - ME;Amparo
DMN Justino Ltda;Sao Carlos
Green Compounds Ativos Naturais Ltda;Sao Paulo
Fluxofarma Pesquisa e Desenvolvimento Ltda;Sao Paulo
Dorileo Solucões em Visao Computacional Ltda;Indaiatuba
Technognoscis Servicos de Engenharia Ltda;Sao Paulo
Agroecovida Indústria e Pesquisa em Alimentos Ltda;Sao Paulo
Konex Indústria e Comercio Ltda;Sao Paulo
Bevi Plastic Artefatos Plasticos Ltda;Mairinque
Angela Faustino Jozala;Sorocaba
Subiter Tecnologia Ltda;Sao Jose dos Campos
Protech Pesquisa e Desenvolvimento Ltda;Sao Carlos
SG Solucões Cientificas Ltda;Sao Carlos
Acta Visio Desenvolvimento em Visao Computacional Ltda;Campinas
JTAG PECAS E EQUIPAMENTOS MEDICOS LTDA;Sao Carlos
Aureliano Agostinho Dias Meirelles;Campinas
Livre Montagem de Produtos Assistivos S/A;Sao Jose dos Campos
