Empresa;Área do Conhecimento;Subárea do Conhecimento
LUIS HENRIQUE GUILHERME;Engenharia de Materiais e Metalúrgica;Instalações e Equipamentos Metalúrgicos
JOAO MARCELO ROBAZZI BIGNELLI VALENTE AGUIAR 33617689850;Zoologia;Comportamento Animal
MS Soluções Analíticas Pesquisa e Consultoria Eireli;Farmácia;Análise e Controle de Medicamentos
Nexxto Serviços em Tecnologia da Informação S/A;Ciência da Computação;Sistemas de Computação
Br4science Assessoria Técnica Científica Ltda;Medicina;Anatomia Patológica e Patologia Clínica
TR - Tecnologia em Radares Ltda;Geociências;Meteorologia
BIOO Artificial Intelligence em Tecnologia da Informação Ltda;Ciência da Computação;Metodologia e Técnicas da Computação
Verdaz Gestão Sustentável e Consultoria Ambiental Ltda (Verdaz);Engenharia Sanitária;Saneamento Ambiental
Luxtec Sistemas Ópticos Ltda;Física;Física da Matéria Condensada
DG Cunha Ensino Educacional;Educação;Ensino-aprendizagem
Yosen Indústria e Comércio de Produtos para Saúde Ltda;Ciência e Tecnologia de Alimentos;Tecnologia de Alimentos
Naiad Desenvolvimento Computacional de Fármacos Ltda;Farmacologia;Farmacologia Bioquímica e Molecular
Meteoia Datascience Ltda;Geociências;Meteorologia
Csense Tecnologia Ltda;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação
Bio Proj Tecnologia Ambiental Ltda;Engenharia Sanitária;Tratamentos de Águas de Abastecimento e Residuárias
TIH - Tecnologias de Interação Humana Ltda;Arquitetura e Urbanismo;Tecnologia de Arquitetura e Urbanismo
ONKOS DIAGNOSTICOS MOLECULARES LTDA (FILIAL);Medicina;Anatomia Patológica e Patologia Clínica
Teccer Indústria e Comércio de Produtos Cerâmicos Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Reciclapac Soluções para Embalagens Ltda;Ciência da Computação;Sistemas de Computação
VIGILANTES DO SONO QUALIDADE DE VIDA E TECNOLOGIA LTDA;Saúde Coletiva;Saúde Pública
Nanopol Consultoria Tecnológica Ltda;Química;Química Orgânica
Foxwater Água e Saneamento Ltda;Microbiologia;Microbiologia Aplicada
Triplet soluções em Biotecnologia Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Forza Composites Tecnologia em Materiais Compósitos Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Kairos Lab Ltda. - ME;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Nascimento Pesquisa, Desenvolvimento e Capacitação Profissional Ltda;Química;Físico-química
Bio Insumos e Diagnóstico Ltda;Microbiologia;Microbiologia Aplicada
Lace Serviços de Engenharia e Representação Ltda;Engenharia Aeroespacial;Sistemas Aeroespaciais
TOVIESUR QUIMICA LTDA;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Gomez & Gomez Ltda. - ME;Ciência da Computação;Metodologia e Técnicas da Computação
Airton Juliano Damaceno - ME;Engenharia Sanitária;Saneamento Ambiental
Bind Pesquisa e Desenvolvimento Ltda;Farmácia;Análise e Controle de Medicamentos
Supply Comércio de Produtos Químicos Ltda;Agronomia;Ciência do Solo
CL Empreendimentos Biológicos Ltda. - EPP;Agronomia;Fitossanidade
Tech - Inovações Tecnológicas para a Agropecuária Ltda;Zootecnia;Produção Animal
Teccer Indústria e Comércio de Produtos Cerâmicos Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
In Situ Terapia Celular Ltda;Odontologia;Periodontia
Linax Indústria e Comércio de Óleos Essenciais Ltda;Engenharia Agrícola;Engenharia de Processamento de Produtos Agrícolas
Matriz Brasileira de Risco Agro Ltda;Economia;Economias Agrária e dos Recursos Naturais
BRL COMPANY LTDA;Zootecnia;Nutrição e Alimentação Animal
BASE VERDE PESQUISA EM BIOMASSA LTDA;Biofísica;Radiologia e Fotobiologia
Autaza Tecnologia S/A;Engenharia Mecânica;Processos de Fabricação
ICTIOLOGICA CONSULTORIA AMBIENTAL LTDA - ME;Recursos Pesqueiros e Engenharia de Pesca;Recursos Pesqueiros de Águas Interiores
Sofien Soluções Tecnológicas para Agroindústria Ltda;Engenharia Mecânica;Projetos de Máquinas
Villas Boas & Lopes Pesquisa Experimental Ltda;Ciência e Tecnologia de Alimentos;Ciência de Alimentos
Datamind Inteligência Artificial S/A;Ciência da Computação;Sistemas de Computação
Innolution Sistemas de Informática Ltda;Medicina;Clínica Médica
Entropic Solutions - Tecnologias a Partir de Biomassa Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Living Out Laboratório de Testes Celulares In Vitro Ltda;Farmácia;Análise Toxicológica
Shamah Mundi - Corretora e Administradora de Seguros Ltda;Ciência da Computação;Sistemas de Computação
Botanichemical Technologias Ltda;Agronomia;Fitossanidade
Geisa Lima Mesquita Zambrosi;Agronomia;Fitossanidade
Thiago Franco;Enfermagem;Enfermagem de Saúde Pública
MATHEUS APARECIDO PEREIRA CIPRIANO 21928910831;Microbiologia;Microbiologia Aplicada
Wetterlab Ltda;Geociências;Meteorologia
Navigandi Pesquisas e Desenvolvimento de Equipamentos Marítimos Ltda;Engenharia Naval e Oceânica;Tecnologia de Construção Naval e de Sistemas Oceânicos
Soluções e Instrumentações Avançadas Ltda. - ME;Engenharia Nuclear;Aplicações de Radioisótopos
Bynd Serviços de Tecnologia Ltda;Ciência da Computação;Matemática da Computação
Agromic Pesquisa, Produção e Comércio de Insumos Biológicos Ltda;Agronomia;Fitossanidade
ADB PESQUISA E DESENVOLVIMENTO LTDA;Química;Química Analítica
Wecare Desenvolvimento e Comércio de Medicamentos e Cosméticos Ltda;Farmácia;Farmacotecnia
Apexzymes Biotecnologia Ltda;Genética;Genética Molecular e de Microorganismos
Villas Boas & Lopes Pesquisa Experimental Ltda;Ciência e Tecnologia de Alimentos;Ciência de Alimentos
Bioallergy Pesquisa e Inovação em Imunoterapia Ltda;Farmácia;Análise e Controle de Medicamentos
Bioagrocert Soluções Agrícolas Ltda;Agronomia;Ciência do Solo
Wagner Wolff ME;Engenharia Agrícola;Engenharia de Água e Solo
Sigria Soluções em Investimentos e Empréstimos Rurais Ltda;Agronomia;Agrometeorologia
Rotar Empresa de Projetos Consultoria e Assessoria Ltda;Zoologia;Zoologia Aplicada
MTG Solutions Softwares de Otimização para Engenharia Ltda;Engenharia Elétrica;Circuitos Elétricos, Magnéticos e Eletrônicos
MC Supply Comércio, Importação, Exportação e Intermediação de Negócios Ltda;Engenharia Mecânica;Projetos de Máquinas
Opensense Informática Ltda;Economia;Métodos Quantitativos em Economia
T de Moraes Arquitetura;Arquitetura e Urbanismo;Tecnologia de Arquitetura e Urbanismo
AFH Soluções Tecnológicas Ltda;Agronomia;Fitossanidade
Justy Biosolutions Ltda;Microbiologia;Microbiologia Aplicada
PHC Godoi Biotecnologia;Biofísica;Biofísica Molecular
ITS Integração Tecnologia e Soluções em Informática Ltda;Engenharia Agrícola;Máquinas e Implementos Agrícolas
Gustavo de Souza;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Krabs Desenvolvimento em Biotecnologia Ltda;Bioquímica;Biologia Molecular
Apoena Biosoluções do Brasil Eireli;Microbiologia;Microbiologia Aplicada
Actinobac Agrosciences Pesquisa e Desenvolvimento Ltda;Química;Química Orgânica
ITS Integração Tecnologia e Soluções em Informática Ltda;Engenharia Agrícola;Máquinas e Implementos Agrícolas
Ecomol Consultoria e Projetos Ltda. - ME;Recursos Pesqueiros e Engenharia de Pesca;Aquicultura
DMN Justino Ltda;Bioquímica;Biologia Molecular
Green Compounds Ativos Naturais Ltda;Química;Química Orgânica
Fluxofarma Pesquisa e Desenvolvimento Ltda;Química;Química Orgânica
Technognoscis Serviços de Engenharia Ltda;Engenharia Química;Tecnologia Química
Konex Indústria e Comércio Ltda;Medicina;Radiologia Médica
Bevi Plastic Artefatos Plásticos Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Subiter Tecnologia Ltda;Engenharia Mecânica;Engenharia Térmica
Protech Pesquisa e Desenvolvimento Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
SG Soluções Científicas Ltda;Química;Química Analítica
Acta Visio Desenvolvimento em Visão Computacional Ltda;Ciência da Computação;Sistemas de Computação
JTAG PECAS E EQUIPAMENTOS MEDICOS LTDA;Engenharia Biomédica;Engenharia Médica
Aureliano Agostinho Dias Meirelles;Engenharia Agrícola;Engenharia de Processamento de Produtos Agrícolas
Livre Montagem de Produtos Assistivos S/A;Engenharia de Transportes;Veículos e Equipamentos de Controle
Rainer Grassmann;Desenho Industrial;Desenho de Produto
Dungtech Biofertilizantes Ltda;Agronomia;Ciência do Solo
Ecomol Consultoria e Projetos Ltda. - ME;Recursos Pesqueiros e Engenharia de Pesca;Aquicultura
Cromai Tecnologias Agrícolas Ltda;Ciência da Computação;Sistemas de Computação
Optarium Comércio de Artigos de Ótica Eireli - ME;Ciência da Computação;Sistemas de Computação
Cromai Tecnologias Agrícolas Ltda;Ciência da Computação;Sistemas de Computação
Genobiomas Biotecnologia Ltda;Microbiologia;Microbiologia Aplicada
Eletroquímica São Carlos Ltda;Química;Físico-química
Oseas de Paula Ribeiro - ME;Recursos Pesqueiros e Engenharia de Pesca;Aquicultura
Comptest Engenharia Ltda;Engenharia Civil;Construção Civil
Andre Almeida Silva;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Skinzymes Biotecnologia Ltda;Bioquímica;Biologia Molecular
Inanocare Ltda. - ME;Farmácia;Farmacotecnia
Souza P&D Farmacêutico Ltda;Farmácia;Farmacotecnia
Terpenia Desenvolvimento de Bioinsumos Ltda;Zootecnia;Nutrição e Alimentação Animal
Fullface Biometric Solutions Participações S/A;Ciência da Computação;Metodologia e Técnicas da Computação
Alex Julio Trinca;Engenharia Agrícola;Construções Rurais e Ambiência
Plantem Tecnologia em Plantas e Monitoramento Ambiental Ltda;Botânica;Fisiologia Vegetal
Farmresult Prestação de Serviços Agrícolas Ltda;Engenharia Agrícola;Engenharia de Processamento de Produtos Agrícolas
MLA Suprimentos Médicos Ltda;Medicina;Cirurgia
CarbonUP Consultoria, Pesquisa e Desenvolvimento de Materiais Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Licia Carla da Silva Costa;Bioquímica;Química de Macromoléculas
Benfitbox Soluções Tecnológicas Ltda;Economia;Economia dos Recursos Humanos
Dipsie Engenharia e Software S/A;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação
Faz Verde Soluções Ambientais Ltda;Engenharia Sanitária;Saneamento Ambiental
Progenix Pesquisa e Artigos para Laboratório Ltda;Genética;Genética Molecular e de Microorganismos
Versis Tecnologia Ltda;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação
Imunotera Soluções Terapêuticas Ltda. - EPP;Microbiologia;Microbiologia Aplicada
Ecotec Soluções em Automação Sustentável Ltda;Engenharia Mecânica;Projetos de Máquinas
Essado de Morais Ltda. - ME;Engenharia Aeroespacial;Sistemas Aeroespaciais
Dynamine Consultoria em Engenharia Ltda;Engenharia de Minas;Lavra
BRTech Soluções Tecnológicas Ltda;Engenharia Sanitária;Saneamento Ambiental
Vixphy - Soluções de Computação em Nuvem Ltda;Engenharia Elétrica;Telecomunicações
Reload Health Devices Ltda;Saúde Coletiva;Medicina Preventiva
BTZ Tecnologia Ltda;Engenharia Agrícola;Engenharia de Processamento de Produtos Agrícolas
Valora Consultoria em Gestão Empresarial Ltda;Engenharia Sanitária;Saneamento Ambiental
Clarity Healthcare Desenvolvimento de Software Ltda;Saúde Coletiva;Medicina Preventiva
Mesosilica Consultoria Química Ltda;Farmácia;Farmacotecnia
Singularity Extraction Technologies Serviços Ltda;Ciência e Tecnologia de Alimentos;Engenharia de Alimentos
Victor Vision Indústria, Comércio, Importação e Exportação de Equipamentos Médicos Odontológicos Ltda;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
Ravenna Indústria e Comércio de Cosméticos Ltda. - ME;Odontologia;Odontologia Social e Preventiva
EPL Informática Ltda;Geociências;Meteorologia
Invent Biotecnologia Ltda. - ME;Imunologia;Imunologia Aplicada
Protolab Laboratório de Propriedades Termofísicas e Prototipação Ltda;Engenharia de Materiais e Metalúrgica;Metalurgia Física
Itera Inovação e Desenvolvimento Tecnológico Ltda. - ME;Ciência da Computação;Metodologia e Técnicas da Computação
H2O Company Gestão em Sustentabilidade Ltda. - ME;Engenharia Sanitária;Recursos Hídricos
Sensetech Instrumentação e Sistemas Ltda;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação
Lablift Ltda;Ciência da Computação;Sistemas de Computação
Fexmedia Indústria e Comércio de Equipamentos e Tecnologia Ltda;Engenharia Elétrica;Circuitos Elétricos, Magnéticos e Eletrônicos
Fabio Neves dos Santos;Farmácia;Farmacotecnia
Verum Brasil Comércio Alimentício Ltda;Ciência e Tecnologia de Alimentos;Tecnologia de Alimentos
TIH - Tecnologias de Interação Humana Ltda;Arquitetura e Urbanismo;Tecnologia de Arquitetura e Urbanismo
Marzieh Kadivar;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Cor Sync Desenvolvimento de Sistemas Ltda;Engenharia Biomédica;Engenharia Médica
Spin Consultoria Cervejeira Ltda;Ciência e Tecnologia de Alimentos;Tecnologia de Alimentos
Santa Martha Jardins Ltda. - ME;Engenharia Química;Processos Industriais de Engenharia Química
Shizu Pesquisa e Desenvolvimento em Medicina Ltda;Medicina;Cirurgia
Flex IC Indústria Microeletrônica Ltda;Química;Físico-química
Marcelo Victor Pires Sousa Desenvolvimento Tecnológico Fotomedicina - ME;Biofísica;Radiologia e Fotobiologia
NFM Chemical Tecnology Ltda;Química;Química Orgânica
Yellow Engenharia e Consultoria Ltda;Engenharia Elétrica;Circuitos Elétricos, Magnéticos e Eletrônicos
Agrobotz Tecnologia e Serviços Ltda;Engenharia Aeroespacial;Sistemas Aeroespaciais
Deltalys Biotechnology Produtos Farmacêuticos Ltda;Microbiologia;Microbiologia Aplicada
Isabelle Leite Bayona Perez;Recursos Pesqueiros e Engenharia de Pesca;Aquicultura
Immunodot Indústria e Pesquisa de Produtos para Diagnóstico Ltda. - ME;Medicina Veterinária;Medicina Veterinária Preventiva
Poligene Comércio e Serviços Ltda. - ME;Microbiologia;Microbiologia Aplicada
BIOO Artificial Intelligence em Tecnologia da Informação Ltda;Ciência da Computação;Metodologia e Técnicas da Computação
4tree Agroflorestal Ltda;Recursos Florestais e Engenharia Florestal;Silvicultura
Safe Saúde Animal Ltda;Microbiologia;Microbiologia Aplicada
Harpia Health Solutions Ltda;Engenharia Biomédica;Engenharia Médica
Metamorphosis Biotechnology Pesquisas Científicas Eireli;Zootecnia;Nutrição e Alimentação Animal
Audax Electronics Ltda;Engenharia Agrícola;Construções Rurais e Ambiência
Futuro Florestal Ltda;Recursos Florestais e Engenharia Florestal;Silvicultura
InCeres Desenvolvimento de Software e Processamento de Dados S/A;Agronomia;Ciência do Solo
Allagi Engenharia Ltda. - EPP;Administração;Administração de Empresas
Neogenys Diagnóstico Molecular Ltda;Medicina;Saúde Materno-infantil
Metal Chek do Brasil Indústria e Comércio Ltda;Engenharia Química;Tecnologia Química
LLF Agrometeorologia, Soluções e Assessorias Ltda;Geociências;Meteorologia
Mão na Mata - Manejo e Soluções Ambientais Ltda;Ecologia;Ecologia Aplicada
Cassio Ramos Aquicultura e Comércio - ME;Recursos Pesqueiros e Engenharia de Pesca;Aquicultura
Solve Biotechnology Ltda. - ME;Química;Química Analítica
N de Araujo Sellin Desenvolvimento de Sistemas;Ciência da Computação;Sistemas de Computação
Smart Drones Serviços e Consultoria em Cartografia Ltda;Geociências;Geodésia
Acosta Aeroespaço Engenharia e Serviços Especializados Ltda;Engenharia Aeroespacial;Sistemas Aeroespaciais
Magnitud Desenvolvimento de Talentos Ltda;Medicina;Clínica Médica
Innovation Technology Ltda;Engenharia de Transportes;Operações de Transportes
AJT Biotecnologia Ltda. - ME;Ciência e Tecnologia de Alimentos;Tecnologia de Alimentos
Tech - Inovações Tecnológicas para a Agropecuária Ltda;Zootecnia;Produção Animal
Centro de Preservação e Adaptação de Membros de São Paulo Comércio, Importação e Exportação Ltda;Medicina;Cirurgia
Smart Yeast - Pesquisa e Desenvolvimento Ltda;Microbiologia;Microbiologia Aplicada
Connecting Blocks Consultoria Ltda;Ciência da Computação;Sistemas de Computação
Genosel Desenvolvimento Experimental em Ciências Físicas e Naturais;Recursos Pesqueiros e Engenharia de Pesca;Aquicultura
TagmaVisions Treinamentos Digitais Ltda;Medicina;Cirurgia
Karina Lucas da Silva Brandão;Ecologia;Ecologia Aplicada
Afinko Soluções em Polímeros Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Natcrom Soluções Sustentáveis Ltda;Química;Química Orgânica
Kander Serviços Online e Intermediação de Educação e Conteúdo Ltda;Educação;Ensino-aprendizagem
Juan Harold Sosa Arnao;Engenharia Mecânica;Engenharia Térmica
Orion Soluções em Gestão Ltda. - EPP;Ciência da Computação;Metodologia e Técnicas da Computação
Biodiversita Serviços de Apoio Agrícola Ltda. - ME;Microbiologia;Microbiologia Aplicada
Bioprocess Improvement Consultoria e Pesquisas em Bioprocessos Ltda;Engenharia Química;Processos Industriais de Engenharia Química
Techduto Indústria e Comércio de Máquinas e Artefatos de Plásticos Ltda;Engenharia Mecânica;Projetos de Máquinas
Result Negócios em Desenvolvimento Tecnológico, Contact Center Cobrança Digital, Marketing e Consultoria;Ciência da Computação;Sistemas de Computação
Insilicall Softwares para P&D Ltda;Medicina;Clínica Médica
SMBR Technology Ltda;Recursos Pesqueiros e Engenharia de Pesca;Aquicultura
Cuidados Artemis Ltda;Medicina Veterinária;Medicina Veterinária Preventiva
Tech - Inovações Tecnológicas para a Agropecuária Ltda;Recursos Pesqueiros e Engenharia de Pesca;Aquicultura
Eleve Pesquisa e Desenvolvimento Ltda;Engenharia Agrícola;Máquinas e Implementos Agrícolas
Orbi Serviços de Internet Eireli;Ciência da Computação;Sistemas de Computação
R&R NovaBio Pesquisa e Desenvolvimento em Ciências Naturais Ltda;Bioquímica;Biologia Molecular
Universitas Soluções Estudantis Spe Ltda;Ciência da Computação;Sistemas de Computação
In Situ Terapia Celular Ltda;Odontologia;Periodontia
